area,year,tier,tier_subtype,z_mean,z_lo90,z_hi90
E01002791,2012,tier2,resolved,2.7886666495720522,-0.04116581551698253,5.341050947825682
E01002791,2013,tier2,resolved,1.8670528394417185,-6.805205753201658,30.387659190338265
E01002791,2014,tier2,resolved,41.8897308880482,0.6972622007567141,61.98358617603919
E01002791,2015,tier2,resolved,35.22799098904335,28.11421146411581,40.26447834836739
E01002791,2016,tier2,resolved,11.70877417259489,0.14402526227009174,20.822241999581518
E01002791,2017,tier2,resolved,10.969770904125276,1.9462236255851961,36.406554421844966
E01002791,2018,tier2,resolved,4.272159258355623,-1.229301312424378,13.645552347181345
E01002791,2019,tier2,resolved,0.5342186128883609,-2.5934411570601257,3.199016587442793
E01002791,2020,tier2,resolved,0.5513899376026109,-2.6108851620866265,3.3127877924872187
E01002791,2021,tier2,resolved,0.1902457483278919,-2.5661389356683864,2.8420257980740207
E01002790,2012,tier1,,0.47736575290578653,-1.676759492342646,2.5388539853700074
E01002790,2013,tier1,,-1.1977548374754703,-3.3556837737501892,0.9313311417058477
E01002790,2014,tier1,,0.041989915622322696,-2.1983103213725794,2.1382611236675317
E01002790,2015,tier1,,2.7913699085099286,0.12084686694840463,5.090663672359766
E01002790,2016,tier1,,-0.3441326398099487,-2.4614315318028934,1.70135265634097
E01002790,2017,tier1,,0.04189381709225952,-2.085190152289528,2.168532944259667
E01002790,2018,tier1,,-0.34832323084309824,-2.45178244776648,1.75428234649034
E01002790,2019,tier1,,1.2191311158941658,-1.147263983360179,3.4061462140375065
E01002790,2020,tier1,,0.9172089287089219,-1.707206242333616,3.4519328137114655
E01002790,2021,tier1,,0.40125126939513456,-1.8517787362472067,2.5555335703852085
E01002719,2012,tier1,,-0.30279546507062627,-2.7829255077182133,1.9914274238361074
E01002719,2013,tier1,,-3.9524289394601584,-10.774726932765285,0.20287480752119544
E01002719,2014,tier1,,-2.204605596036868,-4.831127400733197,0.3219541865431967
E01002719,2015,tier1,,-0.6937151130364158,-3.003777585153562,1.4595351191236232
E01002719,2016,tier1,,-1.1832753030395446,-3.684128789183337,1.0974908530296221
E01002719,2017,tier1,,0.1533315220328576,-2.4377340167183355,2.46550154618728
E01002719,2018,tier1,,-2.7588354484106117,-5.662648674935563,0.08568759064763237
E01002719,2019,tier1,,-0.6897131699639414,-3.162592417448485,1.4905004461837947
E01002719,2020,tier1,,-1.6681950697928585,-4.183446859618674,0.7270122119163633
E01002719,2021,tier1,,-0.6997674172218292,-3.1643263048142836,1.4986777559970963
E01002792,2012,tier2,resolved,5.851760884913372,-1.625250909809436,26.270982481848286
E01002792,2013,tier2,resolved,4.939938179672938,-4.87193248480886,19.312403085076124
E01002792,2014,tier2,resolved,4.9296585914838005,2.458126579664483,7.599631933133171
E01002792,2015,tier2,resolved,23.14646467976031,17.686953462231862,29.670035664307758
E01002792,2016,tier2,resolved,2.7572217002218893,-0.9347898021993593,6.628316546592847
E01002792,2017,tier2,resolved,5.282761296012819,1.1472372598646547,9.562773169139588
E01002792,2018,tier2,resolved,3.9344936156255437,-2.8683548982309,12.259047699538822
E01002792,2019,tier2,resolved,1.9976947639916045,-4.81326823299255,13.423335803084049
E01002792,2020,tier2,resolved,0.3971241752118906,-3.6549096032518955,5.530099105583371
E01002792,2021,tier2,resolved,-1.2371178868941342,-5.361417455532502,5.0243496539712975
E01002795,2012,tier1,,2.375148061334462,-2.5184996267711974,6.047762819559017
E01002795,2013,tier1,,-2.273679732332466,-5.737567954468816,1.2217087721297382
E01002795,2014,tier1,,-0.16543137210062303,-2.6279169976069072,2.173450923925521
E01002795,2015,tier1,,0.6309681465965313,-2.0566680228404763,3.09928347156984
E01002795,2016,tier1,,1.246247850202702,-1.1428625258099305,3.400983755575207
E01002795,2017,tier1,,2.0293832572631283,-0.29816687752753,4.126536133073821
E01002795,2018,tier1,,-0.5957163300954103,-3.189768480538375,1.9742548809721914
E01002795,2019,tier1,,0.8299897713088363,-2.2199773823392395,4.020192514102402
E01002795,2020,tier1,,-0.8260662053664118,-3.0769991943584634,1.3167706778074046
E01002795,2021,tier1,,-1.2508434468107503,-3.549539263241565,1.0129306235432172
E01002699,2012,tier1,,-0.5421898783479141,-3.61763316101063,1.9552340096140821
E01002699,2013,tier1,,-5.96698533822444,-9.731874792314605,-1.9043629030817446
E01002699,2014,tier1,,-1.6498873840704031,-4.456123710116453,0.7943515332761297
E01002699,2015,tier1,,-1.6806517299034485,-4.559889848290991,0.6505847068978653
E01002699,2016,tier1,,-0.7841906429971582,-3.636499727495226,1.6073914161695155
E01002699,2017,tier1,,-1.1750818381894255,-4.4873388243023795,1.6340332679958294
E01002699,2018,tier1,,-1.3489796461128067,-4.490310261332189,1.2017686135499779
E01002699,2019,tier1,,-1.184808243833291,-4.054156737141317,1.1733315935123443
E01002699,2020,tier1,,-1.206748323683159,-4.008674982565349,1.132987286600799
E01002699,2021,tier1,,-3.4604769746379485,-6.563798672640603,-0.5738344779859057
E01002698,2012,tier2,resolved,12.849620342649683,8.716593366321002,16.777270927772857
E01002698,2013,tier2,resolved,11.92523544489019,7.972539467470472,15.78414173317778
E01002698,2014,tier2,resolved,12.408188904188139,3.7878504509424236,20.331850924721916
E01002698,2015,tier2,resolved,8.471353375201838,0.2670772088620328,13.968582999943399
E01002698,2016,tier2,resolved,5.665739695679754,1.0130082096603428,10.158315128714305
E01002698,2017,tier2,resolved,1.5503962584763997,-1.150306201759061,4.367419003761522
E01002698,2018,tier2,resolved,1.4376028687080757,-0.9525597614226238,4.011450912706442
E01002698,2019,tier2,resolved,-1.590724457621259,-4.417677499031542,1.5916958096374048
E01002698,2020,tier2,resolved,1.2009808324868463,-1.8262918859303703,4.436799377831898
E01002698,2021,tier2,resolved,0.08160673534042501,-2.337252732471503,2.7702609641319453
E01002740,2012,tier2,resolved,43.21704674935883,38.35730115165007,48.80296152532604
E01002740,2013,tier2,resolved,42.15760190460138,37.105413147097934,48.144287182740634
E01002740,2014,tier2,resolved,5.552801915733719,1.1300479317049503,7.91994280201448
E01002740,2015,tier2,resolved,44.56451781389393,40.03073973021276,49.214672187808176
E01002740,2016,tier2,resolved,42.84956873186091,37.97404688477107,47.86413876124767
E01002740,2017,tier2,resolved,6.4709858278344985,-2.0927964564608628,61.54444106865223
E01002740,2018,tier2,resolved,4.6325330145661265,-1.6372964752437358,53.381312403800635
E01002740,2019,tier2,resolved,41.24344815433973,-4.648946545108969,72.14414732736144
E01002740,2020,tier2,resolved,5.3935397190582925,0.9786394952496974,7.732829541189256
E01002740,2021,tier2,resolved,6.917956168752512,-2.210587186570958,62.924441039866274
E01002793,2012,tier1,,3.9879347985692037,0.7831005703623012,7.280911760323546
E01002793,2013,tier1,,2.3730193578821837,-1.7532064016595221,8.153331733596385
E01002793,2014,tier1,,0.12842648890547517,-3.829453958827134,5.536585001918976
E01002793,2015,tier1,,0.18134307368465635,-2.896462096285444,4.0360842328806426
E01002793,2016,tier1,,1.528745078806783,-0.8209136066827035,4.284395117095436
E01002793,2017,tier1,,4.641365134593029,2.2522676848112013,7.200574362902002
E01002793,2018,tier1,,0.6970914803756593,-1.7641207841376472,3.6789594545203625
E01002793,2019,tier1,,0.15225469649567372,-2.900784847247583,3.8229392740911052
E01002793,2020,tier1,,1.0436729898449475,-1.305204268798617,3.8379775926031883
E01002793,2021,tier1,,3.266146900842368,0.326538663684287,6.4103630630887665
E01002796,2012,tier1,,0.28008935108852595,-1.7972429161991719,2.3710947587342206
E01002796,2013,tier1,,1.0052921670716854,-1.9495755317248782,3.86356591643617
E01002796,2014,tier1,,-0.07969647982205101,-2.888793777324846,3.0218684129368727
E01002796,2015,tier1,,0.7231869200796205,-1.3472065017039119,2.905698023805194
E01002796,2016,tier1,,0.289823650903763,-1.8161250814488332,2.449935250836368
E01002796,2017,tier1,,0.3117476847217015,-1.7478395461514142,2.472800760124015
